记录时间: 2025-04-11 15:51:08

当前运行的应用程序:
PID: 19580, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 19644, 名称: 极空间.exe, 用户: PC-20240921UCSH\Administrator
PID: 19648, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 19848, 名称: MoTTYnew.exe, 用户: PC-20240921UCSH\Administrator
PID: 19984, 名称: wget.exe, 用户: PC-20240921UCSH\Administrator
PID: 20012, 名称: MobaXterm.exe, 用户: PC-20240921UCSH\Administrator
PID: 20156, 名称: perl.exe, 用户: PC-20240921UCSH\Administrator
PID: 20172, 名称: 极空间.exe, 用户: PC-20240921UCSH\Administrator
PID: 20312, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 20320, 名称: DingTalk.exe, 用户: PC-20240921UCSH\Administrator
PID: 20336, 名称: mmcrashpad_handler64.exe, 用户: PC-20240921UCSH\Administrator
PID: 20460, 名称: wget.exe, 用户: PC-20240921UCSH\Administrator
PID: 20512, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 20840, 名称: WeChatAppEx.exe, 用户: PC-20240921UCSH\Administrator
PID: 20936, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 21008, 名称: zotero.exe, 用户: PC-20240921UCSH\Administrator
PID: 21624, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 21780, 名称: aTrustAgent.exe, 用户: NT AUTHORITY\SYSTEM
PID: 22068, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 22496, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 22508, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 22544, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 22596, 名称: powershell.exe, 用户: PC-20240921UCSH\Administrator
PID: 22632, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 22872, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 23060, 名称: WeChatUtility.exe, 用户: PC-20240921UCSH\Administrator
PID: 23364, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 23744, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 23752, 名称: cmd.exe, 用户: PC-20240921UCSH\Administrator
PID: 23764, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 23848, 名称: WeChatAppEx.exe, 用户: PC-20240921UCSH\Administrator
PID: 24492, 名称: WeChatOCR.exe, 用户: PC-20240921UCSH\Administrator
PID: 24512, 名称: WeChat.exe, 用户: PC-20240921UCSH\Administrator
PID: 24604, 名称: WeChatAppEx.exe, 用户: PC-20240921UCSH\Administrator
PID: 24856, 名称: zotero.exe, 用户: PC-20240921UCSH\Administrator
PID: 25132, 名称: powershell.exe, 用户: PC-20240921UCSH\Administrator
PID: 25216, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 25308, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 25340, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 25592, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 25764, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 26264, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 26452, 名称: powershell.exe, 用户: PC-20240921UCSH\Administrator
PID: 26696, 名称: DingTalk.exe, 用户: PC-20240921UCSH\Administrator
PID: 26824, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 27144, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 27188, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 27208, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 27516, 名称: audiodg.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 27608, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 27808, 名称: WeChatAppEx.exe, 用户: PC-20240921UCSH\Administrator
PID: 27848, 名称: WeChatAppEx.exe, 用户: PC-20240921UCSH\Administrator
PID: 28020, 名称: ssh.exe, 用户: PC-20240921UCSH\Administrator
PID: 28068, 名称: RuntimeBroker.exe, 用户: PC-20240921UCSH\Administrator
PID: 28408, 名称: WeChatPlayer.exe, 用户: PC-20240921UCSH\Administrator
PID: 28784, 名称: WeChatAppEx.exe, 用户: PC-20240921UCSH\Administrator
PID: 28844, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 28848, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 28864, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 28932, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 28972, 名称: ssh.exe, 用户: PC-20240921UCSH\Administrator
PID: 29192, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 29264, 名称: LvPolicyReport.exe, 用户: None
PID: 29312, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 29320, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 29428, 名称: cmd.exe, 用户: PC-20240921UCSH\Administrator
